Handheld Game Console
Nintendo 3DS XL,Sony PlayStation Vita,Nvidia Shield,Nintendo 2DS,Nintendo 3DS
9.73,9.35,8.60,7.85,7.58
500,600,100,500,500
4.88,5,5,3.53,3.53
256000,522240,921600,180000,192000
1,1,16,1,0.064
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,0,0
3.5,4,6,3.5,3
12,9.2,20.5,9,8.1
1,1,1,1,1
1,1,1,1,1
1,1,0,1,1
1,1,0,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,0,0
0,1,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,0,1,1
1,0,1,1,1
0,1,1,0,0
