10,24,4,24.879854941387368,0.9745454545454546,0.9543333333333333,0.9846024175921638,ACTION CAMCORDERS-5000-false
33,36,4,37.23238466683102,0.928222735375142,0.7540109847045992,0.8658578546706824,AIR PURIFIER-5000-false
10,22,4,28.560319931136384,0.8448484848484847,0.576,0.749769686431544,ALL-IN-ONE PC-5000-false
10,13,3,24.927760015829808,0.9066666666666668,0.8966666666666667,0.9921053148870534,BASE BOARD-5000-false
12,26,4,26.950367463117747,0.8071095571095571,0.5918981481481481,0.7943725729302739,BASS HEADPHONE-5000-false
10,28,4,27.320627601951294,0.9127272727272728,0.8376666666666667,0.9665086180012002,BATHROOM SCALE-5000-false
10,25,4,25.330844678216366,0.9284848484848487,0.7000000000000001,0.7553877392472834,BIKE GPS-5000-false
10,22,4,24.1588544122975,0.8787878787878787,0.819,0.9519583537597074,BLENDER-5000-false
11,39,4,26.87294416483923,0.9239669421487604,0.9431818181818182,0.9961374428185121,BRIDGE CAMERA-5000-false
10,17,4,27.443413522416726,0.7321212121212122,0.8566666666666668,0.9738519897807787,CANISTER VACCUUM-5000-false
10,22,4,26.02948371712924,0.6455956873882286,0.7183333333333334,0.9315715165651246,CAR VACCUUM-5000-false
10,27,4,25.94106700368216,0.772647946017362,0.7443333333333333,0.9217799888968761,LASER PRINTER-5000-false
10,22,4,24.413484093655804,0.7684848484848484,0.6616666666666668,0.8583254235580222,SANDWICH MAKER-5000-false
21,39,5,37.11194667350948,0.9210682967942189,0.7738952605835724,0.9301279977676696,SMARTPHONES-5000-false
11,18,5,25.18670477167889,0.7347107438016529,0.7027777777777777,0.914364436812544,TABLETS-5000-false
8,21,3,21.86384253113569,0.7797619047619049,0.8645833333333333,0.9647892600811545,TV LCD-5000-false
